Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,57.200001,63.169998,57.150002,62.099998,62.099998,105285
2008-02-01,62.599998,66.199997,60.000000,63.709999,63.709999,78695
2008-03-01,64.500000,64.849998,57.700001,59.200001,59.200001,117531
2008-04-01,57.450001,59.320000,55.380001,55.930000,55.930000,83516
2008-05-01,54.959999,60.000000,54.939999,56.480000,56.480000,57246
2008-06-01,57.020000,58.919998,55.680000,58.500000,58.500000,56831
2008-07-01,58.669998,61.480000,57.000000,58.500000,58.500000,260997
2008-08-01,58.160000,58.619999,53.360001,56.520000,56.520000,154396
2008-09-01,56.549999,63.000000,52.910000,61.959999,61.959999,405819
2008-10-01,61.860001,68.370003,54.389999,57.450001,57.450001,500032
2008-11-01,60.000000,64.300003,56.549999,63.090000,63.090000,261543
2008-12-01,63.080002,63.080002,58.369999,61.509998,61.509998,664191
2009-01-01,62.709999,71.690002,60.919998,71.330002,71.330002,582311
2009-02-01,71.430000,78.900002,68.010002,74.570000,74.570000,1077085
2009-03-01,75.489998,75.699997,67.000000,68.620003,68.620003,1194202
2009-04-01,69.260002,69.599998,63.880001,66.290001,66.290001,644907
2009-05-01,66.300003,68.900002,66.300003,68.620003,68.620003,571347
2009-06-01,68.790001,73.000000,64.919998,66.110001,66.110001,987461
2009-07-01,65.660004,66.650002,62.700001,65.930000,65.930000,686656
2009-08-01,66.489998,66.980003,65.209999,65.610001,65.610001,741060
2009-09-01,65.879997,69.220001,65.690002,67.580002,67.580002,650388
2009-10-01,68.410004,71.400002,67.500000,69.639999,69.639999,633551
2009-11-01,70.080002,78.169998,70.080002,77.379997,77.379997,681085
2009-12-01,78.040001,79.930000,74.760002,75.360001,75.360001,652964
2010-01-01,76.400002,79.089996,75.989998,76.769997,76.769997,513805
2010-02-01,77.129997,81.879997,76.019997,80.709999,80.709999,599748
2010-03-01,81.379997,82.949997,79.470001,81.440002,81.440002,632683
2010-04-01,81.510002,87.879997,81.510002,87.739998,87.739998,1241828
2010-05-01,88.000000,99.529999,87.930000,97.910004,97.910004,2506080
2010-06-01,98.500000,103.860001,97.199997,99.970001,99.970001,1252785
2010-07-01,100.279999,100.379997,87.470001,88.930000,88.930000,1033150
2010-08-01,89.309998,96.970001,88.059998,96.849998,96.849998,1064529
2010-09-01,96.980003,98.129997,94.220001,94.550003,94.550003,985115
2010-10-01,94.580002,97.199997,93.349998,95.669998,95.669998,1008339
2010-11-01,96.160004,105.269997,92.800003,104.589996,104.589996,1158148
2010-12-01,105.190002,106.019997,101.449997,104.339996,104.339996,810638
2011-01-01,105.260002,105.419998,94.150002,95.779999,95.779999,1182392
2011-02-01,96.139999,101.690002,94.750000,100.919998,100.919998,1025750
2011-03-01,101.500000,102.379997,95.940002,99.800003,99.800003,985215
2011-04-01,99.820000,103.690002,98.199997,102.290001,102.290001,757012
2011-05-01,102.589996,107.379997,98.459999,105.339996,105.339996,1191001
2011-06-01,104.800003,106.919998,102.000000,102.199997,102.199997,938777
2011-07-01,101.000000,112.220001,100.660004,111.019997,111.019997,925837
2011-08-01,110.500000,129.850006,109.959999,124.529999,124.529999,2113940
2011-09-01,124.550003,134.009995,113.199997,118.500000,118.500000,1765636
2011-10-01,119.000000,124.879997,115.160004,121.330002,121.330002,958681
2011-11-01,122.000000,129.899994,121.190002,127.339996,127.339996,1389997
